Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,SV Wiler-Ersigen,22,16,4,1,1,177:107,70,57
2,,HC Rychenberg Winterthur,22,14,3,0,5,138:96,42,48
3,,Grasshopper Club Zürich,22,14,2,1,5,174:124,50,47
4,,UHC Alligator Malans,22,12,3,2,5,145:101,44,44
5,,Chur Unihockey,22,10,4,2,6,144:117,27,40
6,,Floorball Köniz,22,10,0,5,7,132:111,21,35
7,,Tigers Langnau,22,10,2,1,9,130:124,6,35
8,,Kloten-Bülach Jets,22,7,2,2,11,133:145,-12,27
9,,Waldkirch-St. Gallen,22,8,0,2,12,115:144,-29,26
10,,UHC Uster,22,5,1,5,11,109:143,-34,22
11,,UHC Thun,22,2,1,1,18,111:179,-68,9
12,,UHC Grünenmatt,22,0,2,2,18,105:222,-117,6
